# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.5-alpha3

adiamond.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
offiore.erick817, long, 0000000000000000
offiore.ethicadd, long, 0000000000000000
offiore.lewrok, long, 0000000000000000
offiore.posia, long, 0000000000000000
offiore.thatguyouknow18, long, 0000000000000000
offiore.vaarsuvious, long, 0000000000000000
offiore.zak_sm, long, 0000000000000000
orealerts.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
redstone_amount_mined_in_x_sec, long, 0000000000000010
resetzyc, boolean, 00
rore._cyb3r_hunt3r_, long, 0000000000000000
rore.alexandro_ss, long, 0000000000000000
rore.blastii1337, long, 0000000000000000
rore.erick817, long, 0000000000000000
rore.ethicadd, long, 0000000000000000
rore.lewrok, long, 0000000000000000
rore.nieplacz, long, 0000000000000000
rore.posia, long, 0000000000000000
rore.rzanrzal, long, 0000000000000000
rore.thatguyouknow18, long, 0000000000000000
rore.vaarsuvious, long, 0000000000000000
rore.zak_sm, long, 0000000000000000
skull::rzanrzal, boolean, 01
timer, long, 000000000000001E
wwersja, string, 8003312E32
zycia::nieplacz, long, 0000000000000001
zycia::rzanrzal, long, 0000000000000002
zycia::zyciaa._cyb3r_hunt3r_, long, 0000000000000003
zycia::zyciaa.blastii1337, long, 0000000000000003
zycia::zyciaa.erick817, long, 0000000000000001
zycia::zyciaa.lewrok, long, 0000000000000004
zycia::zyciaa.nieplacz, long, 0000000000000003
zycia::zyciaa.rzanrzal, long, 0000000000000003
zyciastartowe, long, 0000000000000003
zycie::amipopiyt, string, 802AC2A763C2A76C4272616B207A79632120506F20736D696572636920646F7374616A65737A2062616E6121
zycie::filipek_yt, string, 802AC2A763C2A76C4272616B207A79632120506F20736D696572636920646F7374616A65737A2062616E6121
zycie::marcolini1, string, 802AC2A763C2A76C4272616B207A79632120506F20736D696572636920646F7374616A65737A2062616E6121
zycie::nieplacz, string, 8006C2A734E29DA4
zycie::rzanrzal, string, 8006C2A734E29DA4

